epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8656,1.01463,1.99299,1.18542,0.92703,0.86419,0.94865,0.74127,0.83207,0.65869,1.06527,0.00331439,0.00331439,0.00331439
2,127.477,0.92917,0.79123,1.11047,0.78694,0.80767,0.84826,0.63377,0.90346,1.02113,1.08863,0.00662579,0.00662579,0.00662579
3,188.123,0.95585,0.78134,1.12949,0.94562,0.91529,0.962,0.71428,0.91563,0.65908,1.13303,0.00991519,0.00991519,0.00991519
4,248.724,0.99821,0.77548,1.16457,0.95244,0.94991,0.98196,0.74161,0.88503,0.57491,1.11745,0.009901,0.009901,0.009901
5,307.799,0.98337,0.72199,1.16693,0.96094,0.94367,0.98443,0.7539,0.87127,0.53491,1.13359,0.009868,0.009868,0.009868
6,366.533,0.96396,0.67792,1.1523,0.95427,0.9558,0.98248,0.75629,0.88022,0.51276,1.1124,0.009835,0.009835,0.009835
7,425.34,0.95429,0.65618,1.15029,0.97701,0.97665,0.98932,0.76683,0.84531,0.44821,1.09487,0.009802,0.009802,0.009802
8,483.57,0.95286,0.64676,1.14487,0.98303,0.96651,0.98586,0.77132,0.83854,0.45886,1.0974,0.009769,0.009769,0.009769
9,541.846,0.93512,0.61679,1.1365,0.97771,0.97786,0.98864,0.78576,0.8244,0.4246,1.07126,0.009736,0.009736,0.009736
10,599.84,0.94089,0.61796,1.14294,0.95399,0.94541,0.97747,0.72484,0.98028,0.51814,1.21346,0.009703,0.009703,0.009703
11,657.657,0.91074,0.58785,1.12663,0.92544,0.89221,0.94506,0.71955,0.90798,0.60862,1.1891,0.00967,0.00967,0.00967
12,715.445,0.91772,0.56415,1.13133,0.9782,0.98269,0.98857,0.7947,0.80824,0.38865,1.09014,0.009637,0.009637,0.009637
13,773.221,0.89996,0.5448,1.11632,0.97827,0.98154,0.98903,0.75775,0.89483,0.41647,1.16519,0.009604,0.009604,0.009604
14,830.855,0.90497,0.55211,1.1229,0.99106,0.98496,0.99279,0.80561,0.78861,0.35758,1.08131,0.009571,0.009571,0.009571
15,888.381,0.90076,0.53464,1.1113,0.98648,0.97983,0.99101,0.78612,0.80968,0.37889,1.10998,0.009538,0.009538,0.009538
16,946.152,0.88655,0.53395,1.10773,0.98445,0.99311,0.99123,0.80213,0.7812,0.35835,1.07467,0.009505,0.009505,0.009505
17,1004,0.88719,0.51964,1.10525,0.99237,0.98872,0.99313,0.80776,0.77254,0.34152,1.07219,0.009472,0.009472,0.009472
